Player,Team,Position,Salary
Eduardo Rodriguez,BOS,P,7300
Sean Rodriguez,PIT,2B,2100
Ricardo Rodriguez,TEX,P,5500
Richard Rodriguez,PIT,P,5500
Chaz Roe,TB,P,5500
Miguel Rojas,MIA,SS,2400
Sal Romano,CIN,P,6000
Enny Romero,PIT,P,5500
Andrew Romine,SEA,OF,2000
Austin Romine,NYY,C,2300
Sergio Romo,TB,P,5500
Hector Rondon,HOU,P,5500
Bruce Rondon,CWS,P,5500
Jose Rondon,CWS,2B,2100
Amed Rosario,NYM,SS,2500
Tyson Ross,SD,P,7600
Joe Ross,WSH,P,5500
Zach Rosscup,COL,P,5500
Ryan Rua,TEX,OF,2400
Chris Rusin,COL,P,5500
Addison Russell,CHC,SS,3200
