name,Power,Ground
Felipe Vazquez,vs. Power,vs. GrndBall
Felix Doubront,vs. avg.P/F,vs. avg.F/G
Felix Hernandez,vs. avg.P/F,vs. GrndBall
Felix Pena,vs. Power,vs. Fly Ball
Fernando Abad,vs. avg.P/F,vs. Fly Ball
Fernando Rodney,vs. Power,vs. GrndBall
Fernando Rodriguez,vs. Power,vs. Fly Ball
Fernando Romero,vs. avg.P/F,vs. avg.F/G
Fernando Salas,vs. avg.P/F,vs. Fly Ball
Francis Martes,vs. Power,vs. avg.F/G
Francisco Liriano,vs. Power,vs. GrndBall
Francisco Rodriguez,vs. Power,vs. avg.F/G
Frankie Montas,vs. avg.P/F,vs. avg.F/G
Franklin Morales,vs. avg.P/F,vs. avg.F/G
Freddy Peralta,vs. Power,vs. Fly Ball
Garrett Richards,vs. avg.P/F,vs. GrndBall
Gavin Floyd,vs. Finesse,vs. avg.F/G
George Kontos,vs. Finesse,vs. avg.F/G
German Marquez,vs. avg.P/F,vs. GrndBall
Gerrit Cole,vs. avg.P/F,vs. GrndBall
Gio Gonzalez,vs. Power,vs. avg.F/G
Glen Perkins,vs. Finesse,vs. Fly Ball
Gonzalez Germen,vs. Power,vs. avg.F/G
Grant Balfour,vs. Power,vs. Fly Ball
Greg Holland,vs. Power,vs. avg.F/G
Greg Infante,vs. Power,vs. Fly Ball
Hansel Robles,vs. Power,vs. Fly Ball
Heath Bell,vs. Power,vs. avg.F/G
Heath Hembree,vs. avg.P/F,vs. Fly Ball
Hector Neris,vs. Power,vs. Fly Ball
Hector Noesi,vs. Finesse,vs. Fly Ball
Hector Rondon,vs. Power,vs. GrndBall
Hector Santiago,vs. avg.P/F,vs. Fly Ball
Hector Velazquez,vs. Finesse,vs. GrndBall
Henderson Alvarez,vs. Finesse,vs. GrndBall
Henry Owens,vs. avg.P/F,vs. Fly Ball
Hiroki Kuroda,vs. Finesse,vs. avg.F/G
Hisashi Iwakuma,vs. Finesse,vs. GrndBall
Homer Bailey,vs. Finesse,vs. avg.F/G
Hunter Strickland,vs. avg.P/F,vs. avg.F/G
Huston Street,vs. avg.P/F,vs. Fly Ball
Hyun-Jin Ryu,vs. Finesse,vs. GrndBall
Ian Kennedy,vs. avg.P/F,vs. Fly Ball
Ian Krol,vs. avg.P/F,vs. avg.F/G
Ivan Nova,vs. Finesse,vs. GrndBall
J.A. Happ,vs. avg.P/F,vs. Fly Ball
J.C. Gutierrez,vs. avg.P/F,vs. Fly Ball
J.C. Ramirez,vs. Finesse,vs. GrndBall
J.J. Hoover,vs. Power,vs. Fly Ball
J.P. Howell,vs. Power,vs. GrndBall
JT Chargois,vs. Power,vs. GrndBall
Jack Flaherty,vs. Power,vs. avg.F/G
Jackson Stephens,vs. avg.P/F,vs. avg.F/G
Jacob Barnes,vs. Power,vs. GrndBall
Jacob Turner,vs. Finesse,vs. GrndBall
Jacob deGrom,vs. Power,vs. avg.F/G
Jaime Barria,vs. Finesse,vs. Fly Ball
Jaime Garcia,vs. Finesse,vs. GrndBall
Jake Arrieta,vs. avg.P/F,vs. GrndBall
Jake Buchanan,vs. Finesse,vs. GrndBall
Jake Diekman,vs. Power,vs. GrndBall
Jake Faria,vs. avg.P/F,vs. Fly Ball
Jake McGee,vs. Power,vs. Fly Ball
Jake Odorizzi,vs. avg.P/F,vs. Fly Ball
Jake Peavy,vs. avg.P/F,vs. Fly Ball
Jake Petricka,vs. Finesse,vs. GrndBall
Jake Thompson,vs. avg.P/F,vs. avg.F/G
Jakob Junis,vs. Finesse,vs. Fly Ball
James Paxton,vs. avg.P/F,vs. GrndBall
James Pazos,vs. Power,vs. GrndBall
James Shields,vs. Finesse,vs. avg.F/G
Jameson Taillon,vs. avg.P/F,vs. GrndBall
Jamey Wright,vs. Finesse,vs. GrndBall
Jared Burton,vs. avg.P/F,vs. avg.F/G
Jared Hughes,vs. Finesse,vs. GrndBall
Jarlin Garcia,vs. Finesse,vs. avg.F/G
Jarred Cosart,vs. avg.P/F,vs. GrndBall
Jason Frasor,vs. Power,vs. avg.F/G
Jason Grilli,vs. Power,vs. Fly Ball
Jason Hammel,vs. Finesse,vs. avg.F/G
Jason Marquis,vs. Finesse,vs. GrndBall
Jason Motte,vs. avg.P/F,vs. Fly Ball
Jason Vargas,vs. Finesse,vs. Fly Ball
Javy Guerra,vs. avg.P/F,vs. avg.F/G
Jean Machi,vs. Finesse,vs. GrndBall
Jeanmar Gomez,vs. Finesse,vs. GrndBall
Jeff Francis,vs. Finesse,vs. avg.F/G
Jeff Hoffman,vs. avg.P/F,vs. avg.F/G
Jeff Locke,vs. Finesse,vs. GrndBall
Jeff Manship,vs. Finesse,vs. avg.F/G
Jeff Samardzija,vs. avg.P/F,vs. avg.F/G
Jenrry Mejia,vs. avg.P/F,vs. GrndBall
Jerad Eickhoff,vs. avg.P/F,vs. Fly Ball
Jered Weaver,vs. Finesse,vs. Fly Ball
Jeremy Affeldt,vs. avg.P/F,vs. GrndBall
Jeremy Guthrie,vs. Finesse,vs. Fly Ball
Jeremy Hellickson,vs. Finesse,vs. Fly Ball
Jeremy Jeffress,vs. avg.P/F,vs. GrndBall
Jerome Williams,vs. Finesse,vs. GrndBall
Jerry Blevins,vs. Power,vs. Fly Ball
Jesse Biddle,vs. Power,vs. GrndBall
Jesse Chavez,vs. avg.P/F,vs. avg.F/G
Jesse Hahn,vs. Finesse,vs. GrndBall
Jeurys Familia,vs. Power,vs. GrndBall
Jharel Cotton,vs. avg.P/F,vs. Fly Ball
Jhoulys Chacin,vs. avg.P/F,vs. GrndBall
Jim Henderson,vs. Power,vs. Fly Ball
Jim Johnson,vs. Finesse,vs. GrndBall
Jimmie Sherfy,vs. Power,vs. Fly Ball
Jimmy Nelson,vs. avg.P/F,vs. GrndBall
Joakim Soria,vs. Power,vs. avg.F/G
Joaquin Benoit,vs. Power,vs. Fly Ball
Joba Chamberlain,vs. Power,vs. avg.F/G
Joe Beimel,vs. Finesse,vs. avg.F/G
Joe Biagini,vs. Finesse,vs. GrndBall
Joe Blanton,vs. Finesse,vs. avg.F/G
Joe Jimenez,vs. avg.P/F,vs. Fly Ball
Joe Kelly,vs. avg.P/F,vs. GrndBall
Joe Musgrove,vs. Finesse,vs. avg.F/G
Joe Nathan,vs. Power,vs. Fly Ball
Joe Ross,vs. avg.P/F,vs. avg.F/G
Joe Smith,vs. avg.P/F,vs. GrndBall
Joe Thatcher,vs. Power,vs. Fly Ball
Joel Peralta,vs. avg.P/F,vs. Fly Ball
Joey Lucchesi,vs. Power,vs. GrndBall
John Axford,vs. Power,vs. GrndBall
John Baker,vs. Power,vs. Fly Ball
John Brebbia,vs. avg.P/F,vs. Fly Ball
John Danks,vs. Finesse,vs. Fly Ball
John Gant,vs. avg.P/F,vs. GrndBall
John Lackey,vs. Finesse,vs. avg.F/G
Johnny Cueto,vs. Finesse,vs. avg.F/G
Jon Gray,vs. Power,vs. GrndBall
Jon Lester,vs. avg.P/F,vs. avg.F/G
Jon Niese,vs. Finesse,vs. GrndBall
Jonathan Broxton,vs. Power,vs. avg.F/G
Jonathan Holder,vs. Finesse,vs. Fly Ball
Jonathan Loaisiga,vs. Power,vs. GrndBall
Jonathan Papelbon,vs. Power,vs. Fly Ball
Jordan Hicks,vs. Power,vs. GrndBall
Jordan Lyles,vs. Finesse,vs. GrndBall
Jordan Montgomery,vs. avg.P/F,vs. Fly Ball
Jordan Zimmermann,vs. Finesse,vs. avg.F/G
Jorge De La Rosa,vs. avg.P/F,vs. GrndBall
Jose Alvarado,vs. Power,vs. GrndBall
Jose Alvarez,vs. avg.P/F,vs. avg.F/G
Jose Berrios,vs. avg.P/F,vs. Fly Ball
Jose Castillo,vs. Power,vs. Fly Ball
Jose De Leon,vs. avg.P/F,vs. GrndBall
Jose Fernandez,vs. Power,vs. avg.F/G
Jose Leclerc,vs. Power,vs. Fly Ball
Jose Quintana,vs. Finesse,vs. avg.F/G
